Site,Species,ReadingDateTime,Value,Units,Provisional or Ratified
CD9,NO2,07/10/2017 00:00,63.50000,ug m-3,R
CD9,NO2,08/10/2017 00:00,53.20000,ug m-3,R
CD9,NO2,09/10/2017 00:00,101.90000,ug m-3,R
CD9,NO2,10/10/2017 00:00,94.90000,ug m-3,R
CD9,NO2,11/10/2017 00:00,83.30000,ug m-3,R
CD9,NO2,12/10/2017 00:00,95.70000,ug m-3,R
CD9,NO2,13/10/2017 00:00,88.20000,ug m-3,R
CD9,NO2,14/10/2017 00:00,88.00000,ug m-3,R
CD9,NO2,15/10/2017 00:00,94.40000,ug m-3,R
CD9,NO2,16/10/2017 00:00,88.10000,ug m-3,R
CD9,NO2,17/10/2017 00:00,94.80000,ug m-3,R
CD9,NO2,18/10/2017 00:00,89.80000,ug m-3,R
CD9,NO2,19/10/2017 00:00,86.50000,ug m-3,R
CD9,NO2,20/10/2017 00:00,82.80000,ug m-3,R
CD9,NO2,21/10/2017 00:00,74.30000,ug m-3,R
CD9,NO2,22/10/2017 00:00,49.60000,ug m-3,R
CD9,NO2,23/10/2017 00:00,98.20000,ug m-3,R
CD9,NO2,24/10/2017 00:00,88.60000,ug m-3,R
CD9,NO2,25/10/2017 00:00,88.20000,ug m-3,R
CD9,NO2,26/10/2017 00:00,76.80000,ug m-3,R
CD9,NO2,27/10/2017 00:00,64.50000,ug m-3,R
CD9,NO2,28/10/2017 00:00,72.50000,ug m-3,R
CD9,NO2,29/10/2017 00:00,43.30000,ug m-3,R
CD9,NO2,30/10/2017 00:00,78.20000,ug m-3,R
CD9,NO2,31/10/2017 00:00,104.70000,ug m-3,R
CD9,NO2,01/11/2017 00:00,131.00000,ug m-3,R
CD9,NO2,02/11/2017 00:00,86.00000,ug m-3,R
CD9,NO2,03/11/2017 00:00,125.80000,ug m-3,R
CD9,NO2,04/11/2017 00:00,69.50000,ug m-3,R
CD9,NO2,05/11/2017 00:00,54.30000,ug m-3,R
